FlightNumber,FlightDelayStatus
DEN_XNA_62349,1
RIC_EWR_87213,1
IAD_GSO_86576,1
SAV_CVG_87264,1
SBP_LAX_68158,1
LGA_PWM_89349,1
STL_LIT_83427,1
ORD_STL_101923,1
ONT_PHX_70779,1
LGA_MIA_65916,1
SMF_LAX_68139,1
SNA_SEA_64562,1
MCO_EWR_96399,1
ORD_LAS_66622,1
TPA_IAH_69434,1
PHL_STT_96229,1
OAK_LAX_87163,1
ORD_ROC_68704,1
RDU_PHL_91819,1
STL_PHX_64262,1
ATL_CRP_81399,1
LAX_MCI_58834,1
TUL_IAH_72277,1
AUS_LBB_71832,1
DFW_DCA_81618,1
ROC_ORD_59312,2
BHM_CVG_100376,2
FLL_IAH_95019,1
SLC_MCI_82134,1
ORD_ATL_72441,1
MCI_MSP_89419,1
ISP_PBI_79823,1
ATL_ALB_100729,1
HOU_TUL_63213,1
BWI_JAX_58520,1
MDW_DTW_84359,1
PHX_SMF_63315,1
SFO_ACV_72678,1
DCA_CMH_64355,1
CVG_MHT_63130,1
ICT_ATL_61706,2
BOS_LGA_101325,2
SNA_SFO_70405,1
SEA_MCI_62812,1
XNA_CVG_70613,1
CVG_CAK_81023,1
DFW_EGE_103707,1
CMH_BWI_87707,1
ORD_MCO_77416,1
BDL_DFW_101066,1
SEA_PHX_87588,1
PHX_SEA_80255,1
GRR_CVG_87376,1
PDX_SFO_84904,1
SLC_ORD_78189,1
RNO_PHX_67932,1
JFK_BOS_98228,1
TPA_CVG_104947,1
CHS_JFK_105460,1
IAH_MCI_77865,1
STL_ORD_93684,1
CMH_CLT_77591,1
MSY_DEN_71550,1
CVG_ORD_80112,1
CHS_LGA_97783,1
DTW_LGA_99800,1
DFW_GSO_96237,1
DFW_ORD_104655,1
DEN_SAT_82515,1
DEN_ICT_94174,1
SNA_SJC_92441,1
EWR_SJC_104770,1
MHT_PHL_84357,1
CVG_STL_65798,1
TOL_ORD_58318,1
FLL_ISP_69353,1
STL_DFW_95824,1
MSP_MDW_80849,1
FLL_LGA_84383,1
IAH_DFW_77423,1
MSP_LAX_67353,1
IAH_SDF_90313,1
SNA_CVG_79995,1
MIA_ATL_94416,1
IAH_CVG_84726,1
BOS_DTW_85808,1
RDU_CVG_69549,1
OKC_SLC_56950,1
JFK_PBI_82080,1
JAX_FLL_59195,1
BNA_IAD_95656,1
LAX_BWI_69754,1
AUS_DEN_73543,1
GPT_IAH_70437,1
ATL_AGS_96678,1
ORD_PHL_86369,1
ATL_HOU_87689,1
PHL_PIT_73942,1
DCA_BOS_78364,1
LGA_DFW_78773,1
TUS_LAX_89925,1
MKE_CVG_76589,1
MCO_DCA_66343,1
LGA_MIA_76628,1
LAX_BWI_98646,1
IAD_SEA_73267,1
ATL_EWR_65839,1
FAT_SLC_88744,1
STL_JFK_101485,1
JFK_PNS_103081,1
IAH_ORD_74957,1
DFW_SLC_81901,1
CMH_LAS_104283,1
LAS_ORD_74737,1
GNV_ATL_71860,1
LGA_MSP_58451,1
LYH_ATL_89195,1
LGA_ORD_92878,1
BDL_ATL_91196,1
OAK_LAX_92281,1
JAX_JFK_94068,1
TUL_HOU_56943,1
DFW_CRP_83866,1
EWR_DEN_104232,1
LGA_ORD_88840,1
PHX_PHL_96538,1
ELP_HOU_69653,1
CLT_PHL_93628,1
BOS_MSP_88698,1
ATL_MCO_71113,1
XNA_DFW_66782,1
STL_SFO_67212,1
ELP_AUS_62376,1
LGA_ORD_90119,1
JAN_HOU_102721,1
PHX_DFW_92311,1
PHF_ATL_64891,1
ATL_CAK_84600,1
CVG_CHA_65939,1
MDW_DEN_93553,1
IAH_SEA_86962,1
HSV_TPA_67256,1
BUR_SEA_98818,1
ORD_SNA_77000,1
MHT_CLE_81658,1
ORD_STL_94352,1
PHX_SAN_88879,1
ATL_MIA_73209,1
ATL_GRR_70146,1
RDU_EWR_88942,1
AUS_ORD_94776,1
BOS_ORF_75216,1
CLE_SFO_87330,1
CLE_DEN_103294,1
PIT_DEN_68748,1
SFO_PDX_86167,1
MSY_CLT_59192,1
IND_DCA_100121,1
PHX_DFW_65278,1
SFO_SBA_66117,1
GRB_CVG_75826,1
ANC_SEA_82136,1
PHL_SJU_74810,1
RDU_IAH_63381,1
MDW_SJC_93734,1
DCA_DFW_88589,1
ABQ_PHX_60853,1
CVG_IAH_85626,1
ORD_SFO_59217,1
MSP_DFW_97717,1
ORD_CVG_92903,1
PHL_RIC_95209,1
CVG_SRQ_101788,1
SNA_DFW_62136,1
ORD_ATL_97198,1
FLL_LGA_86995,1
ORD_EVV_76408,1
LIT_HOU_92931,2
IAD_ATL_92988,2
TVC_MSP_67591,1
SAN_SFO_95007,1
MCO_ORD_80838,1
SLC_LAS_87004,1
FLL_ISP_96922,1
BOS_OAK_64321,1
JAX_IAH_104644,1
PIT_ATL_86379,1
CVG_MCO_59661,2
ORD_HNL_87003,2
PNS_ATL_75486,2
ROC_IAD_96214,2
PHX_ONT_57375,2
DFW_HOU_58659,2
ATL_BUF_62586,2
ORD_SGF_74028,1
PHX_PDX_77495,1
BOS_PHL_97526,1
PIT_TPA_71611,1
BOI_SLC_102495,1
FAI_ANC_94312,1
BFL_SLC_101748,1
PDX_CVG_80152,1
MDW_MSP_102448,1
ATL_MDW_85700,1
DFW_CMH_99751,1
MHT_BWI_97058,1
DCA_ROC_97493,1
PHL_JAX_69277,1
DCA_CVG_73163,1
IAD_SAV_81379,1
DFW_CLL_73979,1
MHT_EWR_98298,1
DEN_SAT_78504,1
JFK_DTW_65008,1
PHL_BOS_98753,1
MSP_MCO_86452,1
EWR_IND_81483,1
DFW_SAT_70517,1
LAX_MDW_62969,1
SAN_MSP_101839,1
DFW_PVD_68802,1
ROC_CVG_97369,1
ATL_HOU_99780,1
FCA_SLC_66757,1
ORD_DEN_72599,1
LGA_CHS_58122,1
DEN_PHL_82820,1
